"DisplayName","UPN","Department","AccountEnabled","MFARegistered","MethodCount","Methods","RiskLevel"
"Aisha Rahman","aisha.rahman@passion2k7.onmicrosoft.com","Operations","True","False","0","None","HIGH"
"Charlotte Davis","charlotte.davis@passion2k7.onmicrosoft.com","Legal","True","False","0","None","HIGH"
"Daniel Evans","daniel.evans@passion2k7.onmicrosoft.com","HR","True","False","0","None","HIGH"
"David Okafor","david.okafor@passion2k7.onmicrosoft.com","IT","True","False","0","None","HIGH"
"Emma Clarke","emma.clarke@passion2k7.onmicrosoft.com","Finance","True","False","0","None","HIGH"
"Fatima Hussein","fatima.hussein@passion2k7.onmicrosoft.com","Security","True","False","0","None","HIGH"
"James Patel","james.patel@passion2k7.onmicrosoft.com","IT","True","False","0","None","HIGH"
"Lucy Bennett","lucy.bennett@passion2k7.onmicrosoft.com","Finance","True","False","0","None","HIGH"
"Marcus Johnson","marcus.johnson@passion2k7.onmicrosoft.com","Operations","True","False","0","None","HIGH"
"Mohammed Ali","mohammed.ali@passion2k7.onmicrosoft.com","Finance","True","False","0","None","HIGH"
"Oliver Brown","oliver.brown@passion2k7.onmicrosoft.com","Legal","True","False","0","None","HIGH"
"Priya Sharma","priya.sharma@passion2k7.onmicrosoft.com","HR","True","False","0","None","HIGH"
"Ryan Mitchell","ryan.mitchell@passion2k7.onmicrosoft.com","Security","True","False","0","None","HIGH"
"Sarah Thompson","sarah.thompson@passion2k7.onmicrosoft.com","IT","True","False","0","None","HIGH"
"Sophie Wilson","sophie.wilson@passion2k7.onmicrosoft.com","Operations","True","False","0","None","HIGH"
"Thomas Wright","thomas.wright@passion2k7.onmicrosoft.com","HR","True","False","0","None","HIGH"
