"DisplayName","UPN","Department","JobTitle","AccountEnabled","LastSignIn","DaysSinceSignIn","CreatedDate","Status","RecommendedAction"
"Aisha Rahman","aisha.rahman@passion2k7.onmicrosoft.com","Operations","Operations Manager","True","Never","N/A","07/06/2026","Never signed in","Review — disable if not needed"
"Alina Joanna","alina.joanna@passion2k7.onmicrosoft.com","Finance","Junior Finance Graduate","False","Never","N/A","08/06/2026","Never signed in","Review — disable if not needed"
"Aliyah Janmohamed","aliyah.janmohamed@passion2k7.onmicrosoft.com","IT","Junior IAM Analyst","False","Never","N/A","08/06/2026","Never signed in","Review — disable if not needed"
"Charlotte Davis","charlotte.davis@passion2k7.onmicrosoft.com","Legal","Compliance Officer","True","Never","N/A","07/06/2026","Never signed in","Review — disable if not needed"
"Daniel Evans","daniel.evans@passion2k7.onmicrosoft.com","HR","Recruitment Coordinator","True","Never","N/A","07/06/2026","Never signed in","Review — disable if not needed"
"David Okafor","david.okafor@passion2k7.onmicrosoft.com","IT","Systems Administrator","True","Never","N/A","07/06/2026","Never signed in","Review — disable if not needed"
"Emma Clarke","emma.clarke@passion2k7.onmicrosoft.com","Finance","Finance Analyst","True","Never","N/A","07/06/2026","Never signed in","Review — disable if not needed"
"Fatima Hussein","fatima.hussein@passion2k7.onmicrosoft.com","Security","Security Engineer","True","Never","N/A","07/06/2026","Never signed in","Review — disable if not needed"
"James Patel","james.patel@passion2k7.onmicrosoft.com","IT","IT Support Analyst","True","Never","N/A","07/06/2026","Never signed in","Review — disable if not needed"
"Lucy Bennett","lucy.bennett@passion2k7.onmicrosoft.com","Finance","Finance Manager","True","Never","N/A","07/06/2026","Never signed in","Review — disable if not needed"
"Marcus Johnson","marcus.johnson@passion2k7.onmicrosoft.com","Operations","Logistics Coordinator","True","Never","N/A","07/06/2026","Never signed in","Review — disable if not needed"
"Mohammed Ali","mohammed.ali@passion2k7.onmicrosoft.com","Finance","Senior Accountant","True","Never","N/A","07/06/2026","Never signed in","Review — disable if not needed"
"Oliver Brown","oliver.brown@passion2k7.onmicrosoft.com","Legal","Legal Counsel","True","Never","N/A","07/06/2026","Never signed in","Review — disable if not needed"
"Priya Sharma","priya.sharma@passion2k7.onmicrosoft.com","HR","HR Manager","True","Never","N/A","07/06/2026","Never signed in","Review — disable if not needed"
"Ryan Mitchell","ryan.mitchell@passion2k7.onmicrosoft.com","Security","Security Analyst","True","Never","N/A","07/06/2026","Never signed in","Review — disable if not needed"
"Sarah Thompson","sarah.thompson@passion2k7.onmicrosoft.com","IT","IAM Engineer","True","Never","N/A","07/06/2026","Never signed in","Review — disable if not needed"
"Sophie Wilson","sophie.wilson@passion2k7.onmicrosoft.com","Operations","Operations Analyst","True","Never","N/A","07/06/2026","Never signed in","Review — disable if not needed"
"Thomas Wright","thomas.wright@passion2k7.onmicrosoft.com","HR","HR Advisor","True","Never","N/A","07/06/2026","Never signed in","Review — disable if not needed"
"Zara Khan","zara.khan@passion2k7.onmicrosoft.com","IT","Junior IAM Analyst","False","Never","N/A","08/06/2026","Never signed in","Review — disable if not needed"
