GroupName,MemberName,MemberUPN,Department
GRP-Legal,Oliver Brown,oliver.brown@passion2k7.onmicrosoft.com,
GRP-Legal,Charlotte Davis,charlotte.davis@passion2k7.onmicrosoft.com,
GRP-PrivilegedUsers,-- No members --,,
GRP-HR,Thomas Wright,thomas.wright@passion2k7.onmicrosoft.com,
GRP-HR,Priya Sharma,priya.sharma@passion2k7.onmicrosoft.com,
GRP-HR,Daniel Evans,daniel.evans@passion2k7.onmicrosoft.com,
GRP-MFAExempt,-- No members --,,
GRP-Finance,Emma Clarke,emma.clarke@passion2k7.onmicrosoft.com,
GRP-Finance,Mohammed Ali,mohammed.ali@passion2k7.onmicrosoft.com,
GRP-Finance,Lucy Bennett,lucy.bennett@passion2k7.onmicrosoft.com,
GRP-Operations,Sophie Wilson,sophie.wilson@passion2k7.onmicrosoft.com,
GRP-Operations,Marcus Johnson,marcus.johnson@passion2k7.onmicrosoft.com,
GRP-Operations,Aisha Rahman,aisha.rahman@passion2k7.onmicrosoft.com,
GRP-AllStaff,James Patel,james.patel@passion2k7.onmicrosoft.com,
GRP-AllStaff,Sarah Thompson,sarah.thompson@passion2k7.onmicrosoft.com,
GRP-AllStaff,David Okafor,david.okafor@passion2k7.onmicrosoft.com,
GRP-AllStaff,Emma Clarke,emma.clarke@passion2k7.onmicrosoft.com,
GRP-AllStaff,Mohammed Ali,mohammed.ali@passion2k7.onmicrosoft.com,
GRP-AllStaff,Lucy Bennett,lucy.bennett@passion2k7.onmicrosoft.com,
GRP-AllStaff,Thomas Wright,thomas.wright@passion2k7.onmicrosoft.com,
GRP-AllStaff,Priya Sharma,priya.sharma@passion2k7.onmicrosoft.com,
GRP-AllStaff,Daniel Evans,daniel.evans@passion2k7.onmicrosoft.com,
GRP-AllStaff,Sophie Wilson,sophie.wilson@passion2k7.onmicrosoft.com,
GRP-AllStaff,Marcus Johnson,marcus.johnson@passion2k7.onmicrosoft.com,
GRP-AllStaff,Aisha Rahman,aisha.rahman@passion2k7.onmicrosoft.com,
GRP-AllStaff,Oliver Brown,oliver.brown@passion2k7.onmicrosoft.com,
GRP-AllStaff,Charlotte Davis,charlotte.davis@passion2k7.onmicrosoft.com,
GRP-AllStaff,Ryan Mitchell,ryan.mitchell@passion2k7.onmicrosoft.com,
GRP-AllStaff,Fatima Hussein,fatima.hussein@passion2k7.onmicrosoft.com,
GRP-IT,James Patel,james.patel@passion2k7.onmicrosoft.com,
GRP-IT,Sarah Thompson,sarah.thompson@passion2k7.onmicrosoft.com,
GRP-IT,David Okafor,david.okafor@passion2k7.onmicrosoft.com,
GRP-Security,Ryan Mitchell,ryan.mitchell@passion2k7.onmicrosoft.com,
GRP-Security,Fatima Hussein,fatima.hussein@passion2k7.onmicrosoft.com,
