UserName,UPN,Department,AccountEnabled,Licence,ReviewAction
Aisha Rahman,aisha.rahman@passion2k7.onmicrosoft.com,Operations,TRUE,AAD_PREMIUM_P2,Certify or Revoke
Charlotte Davis,charlotte.davis@passion2k7.onmicrosoft.com,Legal,TRUE,AAD_PREMIUM_P2,Certify or Revoke
Daniel Evans,daniel.evans@passion2k7.onmicrosoft.com,HR,TRUE,AAD_PREMIUM_P2,Certify or Revoke
David Okafor,david.okafor@passion2k7.onmicrosoft.com,IT,TRUE,AAD_PREMIUM_P2,Certify or Revoke
Emma Clarke,emma.clarke@passion2k7.onmicrosoft.com,Finance,TRUE,AAD_PREMIUM_P2,Certify or Revoke
Fatima Hussein,fatima.hussein@passion2k7.onmicrosoft.com,Security,TRUE,AAD_PREMIUM_P2,Certify or Revoke
James Patel,james.patel@passion2k7.onmicrosoft.com,IT,TRUE,AAD_PREMIUM_P2,Certify or Revoke
Lucy Bennett,lucy.bennett@passion2k7.onmicrosoft.com,Finance,TRUE,AAD_PREMIUM_P2,Certify or Revoke
Marcus Johnson,marcus.johnson@passion2k7.onmicrosoft.com,Operations,TRUE,AAD_PREMIUM_P2,Certify or Revoke
Mohammed Ali,mohammed.ali@passion2k7.onmicrosoft.com,Finance,TRUE,AAD_PREMIUM_P2,Certify or Revoke
Oliver Brown,oliver.brown@passion2k7.onmicrosoft.com,Legal,TRUE,AAD_PREMIUM_P2,Certify or Revoke
Omar P,OmarP@passion2k7.onmicrosoft.com,,TRUE,AAD_PREMIUM_P2,Certify or Revoke
Priya Sharma,priya.sharma@passion2k7.onmicrosoft.com,HR,TRUE,AAD_PREMIUM_P2,Certify or Revoke
Ryan Mitchell,ryan.mitchell@passion2k7.onmicrosoft.com,Security,TRUE,AAD_PREMIUM_P2,Certify or Revoke
Sarah Thompson,sarah.thompson@passion2k7.onmicrosoft.com,IT,TRUE,AAD_PREMIUM_P2,Certify or Revoke
Sophie Wilson,sophie.wilson@passion2k7.onmicrosoft.com,Operations,TRUE,AAD_PREMIUM_P2,Certify or Revoke
Thomas Wright,thomas.wright@passion2k7.onmicrosoft.com,HR,TRUE,AAD_PREMIUM_P2,Certify or Revoke
