UserName,UPN,Department,PrivilegeType,PrivilegeName,RiskLevel,EligibleUntil,AccountEnabled,ReviewAction
Omar P,OmarP@passion2k7.onmicrosoft.com,,Permanent Role,Global Administrator,System.Object[],Permanent,,Certify or Revoke
Break Glass Account 1,breakglass1@passion2k7.onmicrosoft.com,,Permanent Role,Global Administrator,System.Object[],Permanent,,Certify or Revoke
Break Glass Account 2,breakglass2@passion2k7.onmicrosoft.com,,Permanent Role,Global Administrator,System.Object[],Permanent,,Certify or Revoke
Omar P,OmarP@passion2k7.onmicrosoft.com,,PIM Eligible,Global Administrator,System.Object[],07/06/2027,,Certify or Revoke
James Patel,james.patel@passion2k7.onmicrosoft.com,,Permanent Role,Helpdesk Administrator,HIGH,Permanent,,Certify or Revoke
Sarah Thompson,sarah.thompson@passion2k7.onmicrosoft.com,,Permanent Role,User Administrator,HIGH,Permanent,,Certify or Revoke
Sarah Thompson,sarah.thompson@passion2k7.onmicrosoft.com,,PIM Eligible,User Administrator,HIGH,07/06/2027,,Certify or Revoke
Ryan Mitchell,ryan.mitchell@passion2k7.onmicrosoft.com,,PIM Eligible,Security Administrator,HIGH,07/06/2027,,Certify or Revoke
Charlotte Davis,charlotte.davis@passion2k7.onmicrosoft.com,,Permanent Role,Global Reader,LOW,Permanent,,Certify or Revoke
Ryan Mitchell,ryan.mitchell@passion2k7.onmicrosoft.com,,Permanent Role,Security Reader,LOW,Permanent,,Certify or Revoke
David Okafor,david.okafor@passion2k7.onmicrosoft.com,,PIM Eligible,Global Reader,LOW,07/06/2027,,Certify or Revoke
